timestamp,route_name,origin,destination,route_index,distance_km,duration_min,avg_speed_kmh,congestion,hour,weekday
2026-05-27T12:39:48.747293,Airport → Sector V,Dum Dum → Salt Lake,Howrah → Esplanade,0,8.51,13.35,38.25,40,12,2
2026-05-27T12:39:48.747293,Airport → Sector V,Dum Dum → Salt Lake,Howrah → Esplanade,1,8.09,14.0,34.66,40,12,2
2026-05-27T12:39:48.747293,Airport → Sector V,Dum Dum → Salt Lake,Howrah → Esplanade,2,8.18,14.15,34.7,40,12,2
2026-05-27T12:39:51.159623,Route_C,Sealdah,Howrah,0,13.83,23.36,35.53,40,12,2
2026-05-27T12:39:51.159623,Route_C,Sealdah,Howrah,1,18.6,26.38,42.32,20,12,2
2026-05-27T12:39:51.159623,Route_C,Sealdah,Howrah,2,18.76,26.65,42.25,20,12,2
2026-05-27T12:50:02.113172,Route_A,Madhyamgram,New Town Kolkata,0,25.87,38.52,40.29,20,12,2
2026-05-27T12:50:02.113172,Route_A,Madhyamgram,New Town Kolkata,1,32.27,38.77,49.94,20,12,2
2026-05-27T12:50:02.113172,Route_A,Madhyamgram,New Town Kolkata,2,32.3,38.87,49.86,20,12,2
2026-05-27T12:50:04.447062,Route_B,Dum Dum Kolkata,Sector V Kolkata,0,13.37,20.94,38.32,40,12,2
2026-05-27T12:50:04.447062,Route_B,Dum Dum Kolkata,Sector V Kolkata,1,13.03,22.6,34.59,40,12,2
2026-05-27T12:50:04.447062,Route_B,Dum Dum Kolkata,Sector V Kolkata,2,12.74,22.34,34.23,40,12,2
2026-05-27T12:50:07.028209,Route_C,Howrah Station,Esplanade Kolkata,0,5.31,11.01,28.95,40,12,2
2026-05-27T12:50:07.028209,Route_C,Howrah Station,Esplanade Kolkata,1,5.69,11.6,29.44,40,12,2
2026-05-27T12:50:07.028209,Route_C,Howrah Station,Esplanade Kolkata,2,6.05,11.87,30.56,40,12,2
2026-05-27T12:50:09.175286,Route_D,Sealdah Station,Park Street Kolkata,0,3.63,6.1,35.68,40,12,2
2026-05-27T12:50:09.175286,Route_D,Sealdah Station,Park Street Kolkata,1,3.54,6.88,30.87,40,12,2
2026-05-27T12:50:09.175286,Route_D,Sealdah Station,Park Street Kolkata,2,3.49,6.88,30.39,40,12,2
2026-05-27T12:50:10.547999,Route_E,Garia Kolkata,Ruby Hospital Kolkata,0,5.55,9.01,36.95,40,12,2
2026-05-27T12:50:10.547999,Route_E,Garia Kolkata,Ruby Hospital Kolkata,1,4.94,9.02,32.87,40,12,2
2026-05-27T12:50:10.547999,Route_E,Garia Kolkata,Ruby Hospital Kolkata,2,4.96,9.15,32.55,40,12,2
2026-05-27T12:55:02.272358,Route_A,Madhyamgram,New Town Kolkata,0,25.87,38.52,40.29,20,12,2
2026-05-27T12:55:02.272358,Route_A,Madhyamgram,New Town Kolkata,1,32.27,38.77,49.94,20,12,2
2026-05-27T12:55:02.272358,Route_A,Madhyamgram,New Town Kolkata,2,32.3,38.87,49.86,20,12,2
2026-05-27T12:55:04.514318,Route_B,Dum Dum Kolkata,Sector V Kolkata,0,13.37,20.94,38.32,40,12,2
2026-05-27T12:55:04.514318,Route_B,Dum Dum Kolkata,Sector V Kolkata,1,13.03,22.6,34.59,40,12,2
2026-05-27T12:55:04.514318,Route_B,Dum Dum Kolkata,Sector V Kolkata,2,12.74,22.34,34.23,40,12,2
2026-05-27T12:55:06.880962,Route_C,Howrah Station,Esplanade Kolkata,0,5.31,11.01,28.95,40,12,2
2026-05-27T12:55:06.880962,Route_C,Howrah Station,Esplanade Kolkata,1,5.69,11.6,29.44,40,12,2
2026-05-27T12:55:06.880962,Route_C,Howrah Station,Esplanade Kolkata,2,6.05,11.87,30.56,40,12,2
2026-05-27T12:55:08.260661,Route_D,Sealdah Station,Park Street Kolkata,0,3.63,6.1,35.68,40,12,2
2026-05-27T12:55:08.260661,Route_D,Sealdah Station,Park Street Kolkata,1,3.54,6.88,30.87,40,12,2
2026-05-27T12:55:08.260661,Route_D,Sealdah Station,Park Street Kolkata,2,3.49,6.88,30.39,40,12,2
2026-05-27T12:55:09.743405,Route_E,Garia Kolkata,Ruby Hospital Kolkata,0,5.55,9.01,36.95,40,12,2
2026-05-27T12:55:09.743405,Route_E,Garia Kolkata,Ruby Hospital Kolkata,1,4.94,9.02,32.87,40,12,2
2026-05-27T12:55:09.743405,Route_E,Garia Kolkata,Ruby Hospital Kolkata,2,4.96,9.15,32.55,40,12,2
2026-05-27T13:00:02.256542,Route_A,Madhyamgram,New Town Kolkata,0,25.87,38.52,40.29,20,13,2
2026-05-27T13:00:02.256542,Route_A,Madhyamgram,New Town Kolkata,1,32.27,38.77,49.94,20,13,2
2026-05-27T13:00:02.256542,Route_A,Madhyamgram,New Town Kolkata,2,32.3,38.87,49.86,20,13,2
2026-05-27T13:00:04.531146,Route_B,Dum Dum Kolkata,Sector V Kolkata,0,13.37,20.94,38.32,40,13,2
